Date,Symbol,High,Low,Close,Volume
2023-07-14T00:00:00+0000,TSLA,285.3,276.31,281.38,120062369.0
2023-07-13T00:00:00+0000,TSLA,279.45,270.6,277.9,112681458.0
2023-07-12T00:00:00+0000,TSLA,276.52,271.46,271.99,95672139.0
2023-07-11T00:00:00+0000,TSLA,270.9,266.37,269.79,91972358.0
2023-07-10T00:00:00+0000,TSLA,277.52,265.1,269.61,119425405.0
2023-07-07T00:00:00+0000,TSLA,280.78,273.77,274.43,113879174.0
2023-07-06T00:00:00+0000,TSLA,279.97,272.88,276.54,120707419.0
2023-07-05T00:00:00+0000,TSLA,283.85,277.6,282.48,131530862.0
2023-07-03T00:00:00+0000,TSLA,284.25,275.11,279.82,119685891.0
2023-06-30T00:00:00+0000,TSLA,264.45,259.89,261.77,112620784.0
2023-06-29T00:00:00+0000,TSLA,260.74,253.61,257.5,131283360.0
2023-06-28T00:00:00+0000,TSLA,259.88,248.89,256.24,159770797.0
2023-06-27T00:00:00+0000,TSLA,250.3899,240.85,250.21,164968214.0
2023-06-26T00:00:00+0000,TSLA,258.37,240.7,241.05,179990552.0
2023-06-23T00:00:00+0000,TSLA,262.45,252.8,256.6,177460797.0
2023-06-22T00:00:00+0000,TSLA,265.0,248.25,264.61,166875906.0
2023-06-21T00:00:00+0000,TSLA,276.99,257.78,259.46,211797109.0
2023-06-20T00:00:00+0000,TSLA,274.75,261.12,274.45,165611203.0
2023-06-16T00:00:00+0000,TSLA,263.6,257.2091,260.54,167915594.0
2023-06-15T00:00:00+0000,TSLA,258.95,247.29,255.9,160171203.0
2023-06-14T00:00:00+0000,TSLA,261.57,250.5,256.79,170575500.0
2023-06-13T00:00:00+0000,TSLA,259.68,251.34,258.71,162384297.0
2023-06-12T00:00:00+0000,TSLA,250.97,244.59,249.83,150740500.0
2023-06-09T00:00:00+0000,TSLA,252.42,242.02,244.4,200242406.0
2023-06-08T00:00:00+0000,TSLA,235.23,223.01,234.86,164489703.0
2023-06-07T00:00:00+0000,TSLA,230.8296,223.2,224.57,185710797.0
2023-06-06T00:00:00+0000,TSLA,221.91,212.53,221.31,146911594.0
2023-06-05T00:00:00+0000,TSLA,221.29,214.52,217.61,151143109.0
2023-06-02T00:00:00+0000,TSLA,217.25,209.752,213.97,164398406.0
2023-06-01T00:00:00+0000,TSLA,209.8,199.37,207.52,148029906.0
2023-05-31T00:00:00+0000,TSLA,203.95,195.12,203.93,150711703.0
2023-05-30T00:00:00+0000,TSLA,204.48,197.53,201.16,128818703.0
2023-05-26T00:00:00+0000,TSLA,198.6,184.53,193.17,162061500.0
2023-05-25T00:00:00+0000,TSLA,186.78,180.58,184.47,96870719.0
2023-05-24T00:00:00+0000,TSLA,184.22,178.22,182.9,137605109.0
2023-05-23T00:00:00+0000,TSLA,192.96,185.26,185.77,156952094.0
2023-05-22T00:00:00+0000,TSLA,189.32,180.11,188.87,132001406.0
2023-05-19T00:00:00+0000,TSLA,181.95,176.31,180.14,136196703.0
2023-05-18T00:00:00+0000,TSLA,177.06,172.45,176.89,109520305.0
2023-05-17T00:00:00+0000,TSLA,174.5,167.185,173.86,125473602.0
2023-05-16T00:00:00+0000,TSLA,169.5184,164.35,166.52,98288789.0
2023-05-15T00:00:00+0000,TSLA,169.76,164.5499,166.35,105592492.0
2023-05-12T00:00:00+0000,TSLA,177.38,167.23,167.98,157849594.0
2023-05-11T00:00:00+0000,TSLA,173.57,166.79,172.08,103889906.0
2023-05-10T00:00:00+0000,TSLA,174.43,166.68,168.54,119840703.0
2023-05-09T00:00:00+0000,TSLA,169.82,166.56,169.15,88965039.0
2023-05-08T00:00:00+0000,TSLA,173.8,169.19,171.79,112249398.0
2023-05-05T00:00:00+0000,TSLA,170.7899,163.51,170.06,107607297.0
2023-05-04T00:00:00+0000,TSLA,162.95,159.65,161.2,95108484.0
2023-05-03T00:00:00+0000,TSLA,165.0,159.91,160.61,119728000.0
2023-05-02T00:00:00+0000,TSLA,165.49,158.93,160.31,128259695.0
2023-05-01T00:00:00+0000,TSLA,163.28,158.83,161.83,109015000.0
2023-04-28T00:00:00+0000,TSLA,165.0,157.32,164.31,122515812.0
2023-04-27T00:00:00+0000,TSLA,160.48,152.37,160.19,127015177.0
2023-04-26T00:00:00+0000,TSLA,160.67,153.14,153.75,153364142.0
2023-04-25T00:00:00+0000,TSLA,163.47,158.75,160.67,121999312.0
2023-04-24T00:00:00+0000,TSLA,165.65,158.61,162.55,140006559.0
2023-04-21T00:00:00+0000,TSLA,166.0,161.3208,165.08,123538954.0
2023-04-20T00:00:00+0000,TSLA,169.7,160.56,162.99,210970819.0
2023-04-19T00:00:00+0000,TSLA,183.5,177.65,180.59,125732687.0
2023-04-18T00:00:00+0000,TSLA,187.69,183.5775,184.31,92067016.0
2023-04-17T00:00:00+0000,TSLA,189.69,182.69,187.04,116662189.0
2023-04-14T00:00:00+0000,TSLA,186.28,182.01,185.0,96438664.0
2023-04-13T00:00:00+0000,TSLA,186.5,180.94,185.9,112932985.0
2023-04-12T00:00:00+0000,TSLA,191.5846,180.31,180.54,150256278.0
2023-04-11T00:00:00+0000,TSLA,189.19,185.6475,186.79,115770892.0
2023-04-10T00:00:00+0000,TSLA,185.1,176.11,184.51,142154637.0
2023-04-06T00:00:00+0000,TSLA,186.39,179.74,185.06,123857932.0
2023-04-05T00:00:00+0000,TSLA,190.68,183.76,185.52,133882493.0
2023-04-04T00:00:00+0000,TSLA,198.7446,190.32,192.58,126463845.0
2023-04-03T00:00:00+0000,TSLA,202.6897,192.2,194.77,169545900.0
2023-03-31T00:00:00+0000,TSLA,207.79,197.2,207.46,170222118.0
2023-03-30T00:00:00+0000,TSLA,197.33,194.42,195.28,110252238.0
2023-03-29T00:00:00+0000,TSLA,195.29,189.44,193.88,123660026.0
2023-03-28T00:00:00+0000,TSLA,192.35,185.43,189.19,98654635.0
2023-03-27T00:00:00+0000,TSLA,197.39,189.94,191.81,120851587.0
2023-03-24T00:00:00+0000,TSLA,192.36,187.15,190.41,116531584.0
2023-03-23T00:00:00+0000,TSLA,199.31,188.65,192.22,144193876.0
2023-03-22T00:00:00+0000,TSLA,200.66,190.95,191.15,150376373.0
2023-03-21T00:00:00+0000,TSLA,198.0,188.04,197.58,153391444.0
2023-03-20T00:00:00+0000,TSLA,186.44,176.35,183.25,129684359.0
2023-03-17T00:00:00+0000,TSLA,186.2199,177.33,180.13,133197140.0
2023-03-16T00:00:00+0000,TSLA,185.81,178.84,184.13,121374453.0
2023-03-15T00:00:00+0000,TSLA,182.34,176.03,180.45,145995583.0
2023-03-14T00:00:00+0000,TSLA,183.8,177.1401,183.26,143717897.0
2023-03-13T00:00:00+0000,TSLA,177.35,163.91,174.48,167790256.0
2023-03-10T00:00:00+0000,TSLA,178.29,168.44,173.44,191488872.0
2023-03-09T00:00:00+0000,TSLA,185.18,172.5124,172.92,170023794.0
2023-03-08T00:00:00+0000,TSLA,186.5,180.0,182.0,151897763.0
2023-03-07T00:00:00+0000,TSLA,194.2,186.1,187.71,148125790.0
2023-03-06T00:00:00+0000,TSLA,198.6,192.3,193.81,128100106.0
2023-03-03T00:00:00+0000,TSLA,200.48,192.88,197.79,154193277.0
2023-03-02T00:00:00+0000,TSLA,193.7499,186.01,190.9,181979154.0
2023-03-01T00:00:00+0000,TSLA,207.2,198.52,202.77,156852790.0
2023-02-28T00:00:00+0000,TSLA,211.23,203.75,205.71,153144912.0
2023-02-27T00:00:00+0000,TSLA,209.42,201.26,207.63,161028315.0
2023-02-24T00:00:00+0000,TSLA,197.6695,192.8,196.88,142228105.0
2023-02-23T00:00:00+0000,TSLA,205.14,196.33,202.07,146359950.0
2023-02-22T00:00:00+0000,TSLA,201.99,191.78,200.86,191828457.0
2023-02-21T00:00:00+0000,TSLA,209.71,197.22,197.37,180018588.0
2023-02-17T00:00:00+0000,TSLA,208.44,197.5,208.31,213738549.0
2023-02-16T00:00:00+0000,TSLA,217.65,201.84,202.04,229586538.0
2023-02-15T00:00:00+0000,TSLA,214.66,206.11,214.24,182108581.0
2023-02-14T00:00:00+0000,TSLA,209.82,189.44,209.25,216455708.0
2023-02-13T00:00:00+0000,TSLA,196.3,187.61,194.64,172475452.0
2023-02-10T00:00:00+0000,TSLA,206.2,192.89,196.89,204754129.0
2023-02-09T00:00:00+0000,TSLA,214.0,204.77,207.32,215431442.0
2023-02-08T00:00:00+0000,TSLA,203.0,194.31,201.29,180673644.0
2023-02-07T00:00:00+0000,TSLA,197.5,189.55,196.81,186010325.0
2023-02-06T00:00:00+0000,TSLA,198.17,189.92,194.76,186188131.0
2023-02-03T00:00:00+0000,TSLA,199.0,183.69,189.98,232662023.0
2023-02-02T00:00:00+0000,TSLA,196.7501,182.61,188.27,217448287.0
2023-02-01T00:00:00+0000,TSLA,183.805,169.93,181.41,213806323.0
2023-01-31T00:00:00+0000,TSLA,174.3,162.78,173.22,196813541.0
2023-01-30T00:00:00+0000,TSLA,179.77,166.5,166.66,230878807.0
